City,Violent_crime,Income
HUNTSVILLE,723,32146
ANCHORAGE,1615,39389
CHANDLER,206,35421
GILBERT,95,32418
MESA,1019,25711
PEORIA,145,29615
SCOTTSDALE,189,55114
TEMPE,348,27962
TUCSON,1706,20595
LITTLE ROCK,1310,31883
ANAHEIM,628,24612
ANTIOCH,387,25325
BAKERSFIELD,879,25810
BERKELEY,269,43070
BURBANK,69,37650
CARLSBAD,88,50071
CHULA VISTA,318,26241
CLOVIS,114,29508
CONCORD,241,33957
CORONA,93,30333
COSTA MESA,188,36445
DALY CITY,132,30047
DOWNEY,150,25155
EL CAJON,158,20251
ELK GROVE,296,30345
EL MONTE,193,16656
ESCONDIDO,270,24261
FAIRFIELD,247,29784
FONTANA,384,18922
FREMONT,144,43563
FRESNO,1347,20116
GARDEN GROVE,267,21375
GLENDALE,95,22462
HAYWARD,294,27889
HUNTINGTON BEACH,178,42553
INGLEWOOD,347,19352
IRVINE,59,43750
LANCASTER,481,19653
LONG BEACH,1312,28205
LOS ANGELES,11740,30136
MODESTO,984,23519
MORENO VALLEY,282,19229
MURRIETA,34,28194
NORWALK,194,19943
OAKLAND,3171,34587
OCEANSIDE,313,28968
ONTARIO,263,19788
ORANGE,96,32982
OXNARD,446,19471
PALMDALE,406,19365
PASADENA,204,43612
POMONA,402,18562
RANCHO CUCAMONGA,102,29443
RIALTO,207,16990
RICHMOND,469,29721
RIVERSIDE,679,23887
SACRAMENTO,1830,26240
SALINAS,589,18550
SAN BERNARDINO,1213,13806
SAN DIEGO,2845,34733
SAN FRANCISCO,3452,57917
SAN JOSE,1700,38466
SAN MATEO,118,50226
SANTA ANA,773,16391
SANTA CLARA,79,45279
SANTA CLARITA,168,34617
SANTA MARIA,214,17508
SANTA ROSA,312,31566
SIMI VALLEY,83,37486
STOCKTON,2019,20542
SUNNYVALE,78,53380
TEMECULA,51,30003
TORRANCE,104,48991
VALLEJO,502,38981
VENTURA,196,27248
VICTORVILLE,379,34226
VISALIA,309,18052
WEST COVINA,121,26964
